,Cstar factor
0,0.1375
1,0.051000000000000004
2,0.27
3,0.08666666666666667
4,0.1625
5,0.05
6,0.064
7,0.015735294117647052
8,0.036666666666666674
9,0.1190909090909091
10,0.035
11,0.023297872340425532
12,0.01754716981132076
13,0.04833333333333334
14,0.1190909090909091
15,0.023817204301075267
16,0.013073770491803277
17,0.08989130434782608
18,0.5511111111111112
19,0.8275000000000001
20,0.3078125
21,0.6174999999999999
22,2.4975
23,2.4975
24,0.3078125
25,0.6174999999999999
26,2.4975
27,2.4975
28,0.12581081081081083
29,0.1791666666666667
30,0.10166666666666667
31,0.0862962962962963
32,0.1372727272727273
33,0.07187500000000001
34,0.08736842105263157
35,0.06972972972972971
36,0.1369230769230769
37,0.08157894736842104
38,0.043928571428571414
39,0.13649999999999998
40,0.07844827586206898
41,0.04
42,0.025
43,0.0985
44,0.06551724137931034
45,0.10411764705882354
46,0.1781818181818182
47,0.391875
48,0.21892857142857144
49,0.2825
50,0.029200000000000004
51,0.08399999999999999
52,0.16649999999999998
53,0.13666666666666666
54,0.08681818181818181
55,0.135
56,0.13649999999999998
57,0.07
58,0.051000000000000004
59,0.04
60,0.08
61,0.058125
62,0.05190789473684212
63,0.035727272727272726
64,0.06499999999999999
65,0.07644067796610171
66,0.07186274509803922
67,0.028728813559322035
68,0.14760869565217394
69,0.08660000000000002
70,0.045723684210526326
71,0.02527777777777778
72,0.12125000000000001
73,0.03928571428571429
74,0.0253125
75,0.04411764705882353
76,0.03338235294117647
77,0.07714285714285715
78,0.06323529411764706
79,0.05617647058823529
80,0.08666666666666667
81,0.27
82,0.27
83,0.27
84,0.060666666666666674
85,0.1375
86,0.1375
87,0.20145833333333332
88,0.10587500000000001
89,0.08
90,0.053750000000000006
91,0.20145833333333332
92,0.025833333333333333
93,0.027250000000000003
94,0.07073770491803277
95,0.06373239436619718
96,0.047957746478873235
97,0.1053225806451613
98,0.14760869565217394
99,0.1375
100,0.07
101,0.040258620689655175
102,0.1625
103,0.07714285714285715
104,0.051666666666666666
105,0.08999999999999997
106,0.1053225806451613
107,0.05617647058823529
108,0.07288888888888888
109,0.12557692307692309
110,0.0508
111,0.015
112,0.025909090909090913
113,0.0881132075471698
114,0.035
115,0.065
116,0.2725
117,0.13666666666666666
118,0.030256410256410248
119,0.0475
120,0.2725
121,0.06155405405405405
122,0.195
123,0.042352941176470586
124,0.04
125,0.42999999999999994
126,0.1265277777777778
127,0.195
128,0.07868421052631577
129,0.03909090909090909
130,0.055
131,0.2031818181818182
132,0.21275
133,0.02125
134,0.08989130434782608
135,0.08095744680851065
136,0.042749999999999996
137,0.05588235294117647
138,0.24625000000000002
139,0.2
140,0.07035714285714287
141,0.5199999999999999
142,0.036250000000000004
143,0.02852272727272728
144,0.10666666666666667
145,0.024545454545454547
146,0.2292857142857143
147,0.318
148,0.623
149,0.22666666666666666
150,0.10039999999999999
151,0.35687499999999994
152,0.08106060606060607
153,0.15
154,0.07250000000000001
155,0.01625
156,0.12166666666666666
157,0.011
158,0.0075
159,0.02
160,0.3407142857142857
161,0.11104651162790699
162,0.982
163,0.2435
164,0.2159090909090909
165,1.225
166,0.22666666666666666
167,0.982
168,0.07933333333333333
169,0.033619047619047625
170,0.08375
171,0.05305555555555555
172,0.09137500000000001
173,0.13941176470588235
174,0.035576923076923075
175,0.029166666666666667
176,0.0985
177,0.045
178,0.11578947368421054
179,0.08875
180,0.2825
181,0.048508771929824564
182,0.06904761904761905
183,0.11907407407407407
184,0.21892857142857144
185,0.391875
186,0.240625
187,0.199
188,0.06680555555555556
189,0.08375
190,0.13714285714285715
191,0.052954545454545456
192,0.35687499999999994
193,0.5199999999999999
194,0.13941176470588235
195,0.15
196,0.06562500000000002
197,0.07166666666666666
198,0.10500000000000001
199,0.03347222222222221
200,0.06904761904761905
201,0.07588235294117647
202,0.11799999999999998
203,0.07550000000000001
204,0.1171428571428571
205,0.03429577464788732
206,0.06928571428571428
207,0.0862264150943396
208,0.08453125
209,0.318
210,0.06888888888888889
211,0.07552631578947368
212,0.091875
213,0.10666666666666667
214,0.033888888888888885
215,0.02
216,0.0274
217,0.04725
218,0.19833333333333333
219,0.08653846153846154
220,0.03236842105263158
221,0.12166666666666666
222,0.19291666666666665
223,0.07810344827586208
224,0.17826923076923076
225,0.03485294117647058
226,0.03334905660377359
227,0.044823529411764707
228,0.0321875
229,0.07810344827586208
230,0.029482758620689657
231,0.12327586206896549
232,0.03436781609195402
233,0.0753846153846154
234,0.34249999999999997
235,0.26249999999999996
236,0.02145569620253164
237,0.015
238,0.34249999999999997
239,0.045000000000000005
240,0.03933333333333334
241,0.02257575757575758
242,0.6200000000000001
243,0.06632352941176468
244,0.3
245,0.021265060240963852
246,0.04071428571428572
247,0.06233333333333334
248,0.6200000000000001
249,0.14875000000000002
250,0.12166666666666669
251,0.05735294117647059
252,0.03229166666666667
253,0.18166666666666667
254,0.0836
255,0.2225
256,0.03772727272727273
257,0.06907407407407408
258,0.051388888888888894
259,0.042857142857142864
260,0.075625
261,0.05485294117647059
262,0.10333333333333333
263,0.045
264,0.05743902439024391
265,0.044
266,0.05220338983050848
267,0.3
268,0.189
269,0.2225
270,0.23833333333333334
271,0.15666666666666668
272,0.3969999999999999
273,0.1635714285714286
274,0.2965625
275,0.12666666666666665
276,0.24874999999999997
277,0.14928571428571427
278,0.15666666666666668
279,0.18166666666666667
280,0.43100000000000005
281,0.12166666666666669
282,0.3969999999999999
283,0.09710526315789475
284,0.1635714285714286
285,1.2325
286,0.7014285714285713
287,0.6214285714285713
288,2.4975
289,2.4975
290,0.05500000000000001
291,0.15612903225806454
292,0.620625
293,2.4975
294,2.4975
295,0.05500000000000001
296,0.04709677419354839
297,0.052402597402597395
298,0.09170454545454546
299,0.03475806451612902
300,0.6214285714285713
301,0.037530120481927706
302,0.030223880597014932
303,0.011
304,0.012521739130434783
305,0.015205479452054796
306,0.012444444444444444
307,0.011666666666666667
308,0.08907407407407407
309,0.044
310,0.04770491803278689
311,0.19874999999999998
312,0.4
313,0.07192307692307692
314,0.038316831683168316
315,0.44800000000000006
316,0.3454166666666667
317,1.06125
318,0.10166666666666667
319,0.24874999999999997
320,0.05766666666666666
321,0.18233333333333332
322,0.051250000000000004
323,0.08136363636363633
324,0.14928571428571427
325,0.17153846153846153
326,0.11499999999999998
327,0.24499999999999997
328,0.068125
329,0.0857142857142857
330,0.053068181818181806
331,0.22136363636363637
332,0.12327586206896549
333,0.0776470588235294
334,0.07457627118644067
335,0.2056818181818182
336,0.11460526315789472
337,0.24399999999999994
338,0.26249999999999996
339,0.2056818181818182
340,0.11460526315789472
341,0.2573684210526316
342,0.10715909090909091
343,0.050512820512820515
344,1.24125
345,0.22944444444444445
346,0.3623076923076922
347,0.131
348,2.4975
349,0.044823529411764707
350,0.96
351,0.3
352,0.19380000000000003
353,0.010833333333333334
354,0.0209
355,0.32466666666666666
356,0.19380000000000003
357,0.19086956521739132
358,2.4975
359,0.19874999999999998
360,0.17303571428571432
361,2.4975
362,5.0
363,0.2573684210526316
364,0.23833333333333334
365,0.17814814814814817
366,2.4975
367,5.0
368,4.995
369,0.09281249999999999
370,1.24125
371,0.09968085106382978
372,0.06292682926829267
373,0.08149122807017546
374,0.18115384615384617
375,0.03606060606060607
376,0.4083333333333334
377,0.14923076923076925
378,0.044574468085106365
379,0.02711538461538461
380,0.023018867924528306
381,0.14923076923076925
382,0.1676923076923077
383,0.20400000000000001
384,0.4816666666666667
385,0.05563291139240506
386,0.11840000000000002
387,0.03231707317073171
388,0.08907407407407407
389,0.23470588235294113
390,0.13338235294117648
391,0.05304054054054053
392,0.44800000000000006
393,1.06125
394,0.03081395348837209
395,0.01978125
396,0.03928571428571429
397,0.14759259259259258
398,0.32857142857142857
399,0.13338235294117648
400,0.07964285714285714
401,0.129
402,0.049999999999999996
403,0.06555555555555556
404,0.05392307692307692
405,0.013600000000000001
406,0.19086956521739132
407,0.32466666666666666
408,0.016428571428571428
409,0.030902777777777786
410,0.12625
411,0.10476190476190475
412,0.21769230769230768
413,0.96
414,0.18924999999999997
415,0.21166666666666664
416,0.07681818181818181
417,0.1392857142857143
418,0.22312500000000002
419,0.022948717948717952
420,0.03426470588235293
421,0.04852941176470588
422,0.17800000000000002
423,0.10476190476190475
424,0.11666666666666664
425,0.10805555555555554
426,0.09092592592592592
427,0.3
428,0.026734693877551022
429,0.045
430,0.19291666666666665
431,0.05847826086956522
432,0.7078571428571429
433,0.13037037037037036
434,0.3623076923076922
435,0.43249999999999994
436,0.3744444444444445
437,1.225
438,0.2269047619047619
439,0.05071428571428571
440,0.04863636363636364
441,0.01
442,0.016710526315789474
443,0.085
444,0.2269047619047619
445,0.11925
446,0.9810000000000001
447,0.09625
448,0.43249999999999994
449,0.13037037037037036
450,0.07280701754385964
451,0.09040000000000001
452,0.04801587301587301
453,0.07186046511627908
454,0.04090909090909091
455,0.08021739130434781
456,0.037500000000000006
457,0.03633333333333333
458,0.06257142857142857
459,0.03416666666666666
460,0.21199999999999997
461,0.12666666666666665
462,0.08683333333333333
463,0.12199999999999996
464,0.039
465,0.048870967741935466
466,0.0575
467,0.032926829268292684
468,0.12847826086956526
469,0.023125
470,0.028157894736842107
471,0.025526315789473685
472,0.06
473,0.03169014084507042
474,0.037627118644067786
475,0.06767857142857144
476,0.12847826086956526
477,0.19066666666666665
478,0.133
479,0.07853448275862068
480,0.10097826086956521
481,0.64625
482,0.8550000000000001
483,0.14075757575757575
484,0.04515625
485,0.10097826086956521
486,0.03970588235294118
487,0.022666666666666672
488,0.011
489,0.15000000000000002
490,0.045000000000000005
491,0.06625
492,0.05816326530612243
493,0.015491803278688527
494,0.035560747663551405
495,0.038437500000000006
496,0.026125000000000002
497,0.0444375
498,0.010267857142857143
499,0.03808510638297871
500,0.04443661971830986
501,0.11597560975609755
502,0.013571428571428571
503,0.023750000000000004
504,0.023125
505,0.03169014084507042
506,0.037627118644067786
507,0.13774999999999998
508,0.030789473684210512
509,0.1191176470588235
510,0.4816666666666667
511,0.11840000000000002
512,0.0825
513,0.09826923076923076
514,0.050102040816326535
515,0.0676923076923077
516,0.05
517,0.14075757575757575
518,0.0412280701754386
519,0.115
520,0.05816326530612243
521,0.12300000000000003
522,0.15000000000000002
523,0.21166666666666664
524,0.22666666666666668
525,0.4083333333333334
526,0.1276315789473684
527,0.18966666666666665
528,0.21199999999999997
529,0.14809523809523809
530,0.20400000000000001
531,0.64625
532,0.09021739130434779
533,0.8550000000000001
534,0.19066666666666665
535,0.09019230769230768
536,0.050322580645161284
537,0.0894
